Temperature_Mean,Turbidity,Windspeed,Percent_Bleaching
300.67,0.0287,8,50.2
300.73,0.0262,2,50.7
300.32,0.0429,8,50.9
300.38,0.0424,3,50.9
302.02,0.0954,1,51
300.38,0.0372,6,51.3
299.97,0.0432,7,51.38
299.73,0.1636,8,51.4
299.2,0.2197,4,51.53
300.38,0.0372,3,51.7
300.38,0.0631,6,51.7
301.23,0.061,8,51.8
300.38,0.0631,3,51.8
300.35,0.0477,4,51.8
300.9,0.0349,5,52
300.36,0.0643,6,52
301.3,0.0445,6,52
299.75,0.1093,3,52
300.76,0.0816,7,52
300.38,0.0631,6,52.1
300.88,0.0273,6,52.2
299.74,0.0609,7,52.2
300.78,0.041,4,52.4
300.88,0.0286,6,52.4
300.38,0.0424,6,52.4
300.87,0.028,7,52.6
300.88,0.0279,4,52.6
300.88,0.0273,6,52.6
300.46,0.0842,6,52.6
300.62,0.0335,6,52.8
300.88,0.0273,6,52.9
300.88,0.0286,6,52.9
300.81,0.0447,6,52.9
300.88,0.0279,6,52.9
301.04,0.0459,3,53
300.4,0.0443,6,53
300.43,0.0369,8,53.3
300.88,0.0279,7,53.3
300.87,0.028,5,53.3
299.75,0.0609,7,53.3
299.22,0.07,4,53.35
300.85,0.0349,5,53.6
300.78,0.041,4,53.8
300.78,0.0366,5,53.8
300.87,0.028,4,53.8
300.88,0.0273,4,53.8
300.87,0.028,5,53.8
300.88,0.0286,4,53.8
300.38,0.0452,4,53.8
300.38,0.0396,3,53.9
300.81,0.0632,6,53.9
300.92,0.0297,9,54
301.08,0.0267,5,54
300.38,0.0667,6,54.2
299.97,0.0432,7,54.3
299.85,0.0999,3,54.3
300.81,0.0406,4,54.5
300.38,0.0396,6,54.6
301.39,0.0251,3,55
299.11,0.1919,5,55
300.49,0.036,9,55
300.92,0.0297,9,55
300.44,0.0596,7,55
301.71,0.0849,4,55
301.61,0.0442,4,55
301.59,0.0849,4,55
298.40,0.0458,4,55
300.88,0.0273,6,55
300.86,0.0287,4,55
299.83,0.1491,3,55
300.4,0.0386,9,55
300.88,0.0273,7,55.2
300.88,0.0286,6,55.6
300.88,0.0273,4,55.6
300.81,0.0447,3,55.6
300.83,0.0401,3,55.6
300.42,0.0667,6,55.6
300.38,0.0631,6,55.6
300.78,0.041,4,55.9
301.11,0.0379,3,56
300.40,0.0324,6,56
300.88,0.0273,6,56
300.49,0.0928,6,56
300.4,0.0386,9,56
300.87,0.028,7,56.3
300.81,0.0447,5,56.3
299.8,0.1711,7,56.3
300.88,0.0286,6,56.4
300.38,0.0424,6,56.4
301.68,0.0531,6,56.45
299.83,0.0444,6,56.5
300.65,0.0295,8,56.6
300.49,0.0928,6,56.7
300.88,0.0273,6,56.8
300.41,0.0501,6,56.8
300.4,0.0353,4,56.8
300.97,0.0366,9,56.9
299.83,0.0401,6,57.1
300.78,0.041,5,57.1
300.78,0.041,4,57.1
300.88,0.0286,5,57.1
300.87,0.028,5,57.1
300.87,0.028,4,57.1
300.88,0.0279,7,57.1
300.88,0.0279,4,57.1
300.88,0.0273,5,57.1
300.38,0.0631,8,57.1
299.82,0.1203,8,57.1
300.38,0.0631,6,57.1
300.38,0.0443,6,57.2
